path,type,size_estimate,matched_run_id,notes
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp976_R4H_haz_event_nll_sh010_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp976)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp977_R4H_haz_softhit075_sh010_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp977)
checkpoints/n9_0424_soundspaces_BS64_Lr0.0001_AdamW_exp393_n9B_lr1e4_lsh01,checkpoint,0,,no ledger row matches (extracted exp_id=exp393)
checkpoints/pretrained_resnet_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_resnet,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/pretrained_vit_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_pretrain_vit,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS12_Lr0.001_AdamW_our_hope_foa_v2_js_rgb,checkpoint,16G,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_baseline,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_batvision,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa,checkpoint,3.1G,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_channelattn,checkpoint,3.1G,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_crossattn,checkpoint,3.2G,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_featbank,checkpoint,3.2G,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_msattn,checkpoint,3.2G,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_v2,checkpoint,3.1G,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp224_n3mssh_sh9_lr1e3_lsh0.3,checkpoint,4.3G,,no ledger row matches (extracted exp_id=exp224)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_test_dryrun_n3film,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_test_dryrun_n3film_4ep,checkpoint,626M,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_test_dryrun_oracle_nc3,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS4_Lr0.001_AdamW_full_run_foa_v2_js_rgb,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS4_Lr0.001_AdamW_our_hope_foa_v2_js_rgb,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/unet_256_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_baseline,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/vit_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_vit,checkpoint,0,,no ledger row matches (extracted exp_id=none)
